Column,Heart Rate (BPM),Frequency Variability (s),Tachycardic,Estimated SpO2
RED,71.00591715976331,0.11213830746002902,False,0.7186912844110811
IR,68.62745098039215,0.07228063223242011,False,0.7186912844110811
GREEN,67.41573033707866,0.03872983346207418,False,0.7186912844110811
