timestamp,RED,IR,GREEN
1772597694.370000,767453.000000,1129132.000000,-51210.000000
1772597694.410000,767274.000000,1129001.000000,-50742.000000
1772597694.450000,767288.000000,1129112.000000,-50263.000000
1772597694.490000,767419.000000,1129428.000000,-49595.000000
1772597694.530000,767584.000000,1129662.000000,-48975.000000
1772597694.570000,767686.000000,1129876.000000,-48158.000000
1772597694.610000,767697.000000,1130006.000000,-47488.000000
1772597694.650000,767605.000000,1130004.000000,-46758.000000
1772597694.690000,767518.000000,1130098.000000,-45897.000000
1772597694.730000,767506.000000,1130142.000000,-45033.000000
1772597694.770000,767270.000000,1129828.000000,-44457.000000
1772597694.810000,766864.000000,1128823.000000,-45560.000000
1772597694.850000,766438.000000,1127990.000000,-47656.000000
1772597694.890000,766307.000000,1127526.000000,-49848.000000
1772597694.930000,766164.000000,1127355.000000,-51240.000000
1772597694.970000,765983.000000,1127087.000000,-52485.000000
1772597695.010000,765840.000000,1126923.000000,-53386.000000
1772597695.050000,765859.000000,1126942.000000,-53751.000000
1772597695.090000,765831.000000,1126835.000000,-54077.000000
1772597695.130000,765687.000000,1126795.000000,-54429.000000
1772597695.170000,765545.000000,1126662.000000,-54802.000000
1772597695.210000,765442.000000,1126540.000000,-55063.000000
1772597695.250000,765614.000000,1126717.000000,-54945.000000
1772597695.290000,765635.000000,1126953.000000,-54609.000000
1772597695.330000,765592.000000,1126932.000000,-54135.000000
1772597695.370000,765600.000000,1127083.000000,-53518.000000
1772597695.410000,765676.000000,1127332.000000,-52898.000000
1772597695.450000,765693.000000,1127447.000000,-52234.000000
1772597695.490000,765740.000000,1127611.000000,-51499.000000
1772597695.530000,765812.000000,1127863.000000,-50674.000000
1772597695.570000,765870.000000,1127977.000000,-49829.000000
1772597695.610000,765862.000000,1128106.000000,-48947.000000
1772597695.650000,765881.000000,1128396.000000,-48026.000000
1772597695.690000,765769.000000,1128114.000000,-47327.000000
1772597695.730000,765317.000000,1127089.000000,-48263.000000
1772597695.770000,765024.000000,1126371.000000,-50216.000000
1772597695.810000,764938.000000,1126101.000000,-52019.000000
1772597695.850000,764810.000000,1125969.000000,-53396.000000
1772597695.890000,764742.000000,1125806.000000,-54593.000000
1772597695.930000,764664.000000,1125751.000000,-55380.000000
1772597695.970000,764692.000000,1125900.000000,-55616.000000
1772597696.010000,764581.000000,1125803.000000,-55806.000000
1772597696.050000,764521.000000,1125712.000000,-56114.000000
1772597696.090000,764355.000000,1125489.000000,-56507.000000
1772597696.130000,764365.000000,1125593.000000,-56529.000000
1772597696.170000,764500.000000,1125840.000000,-56384.000000
1772597696.210000,764688.000000,1126156.000000,-55982.000000
1772597696.250000,764969.000000,1126560.000000,-55347.000000
1772597696.290000,765064.000000,1127022.000000,-54687.000000
1772597696.330000,765373.000000,1127472.000000,-53915.000000
1772597696.370000,765607.000000,1127863.000000,-53042.000000
1772597696.410000,765761.000000,1128182.000000,-52255.000000
1772597696.450000,765886.000000,1128520.000000,-51375.000000
1772597696.490000,766050.000000,1128935.000000,-50365.000000
1772597696.530000,766312.000000,1129299.000000,-49327.000000
1772597696.570000,766397.000000,1129410.000000,-48349.000000
1772597696.610000,766143.000000,1128812.000000,-48663.000000
1772597696.650000,765926.000000,1128194.000000,-50233.000000
1772597696.690000,765872.000000,1127996.000000,-51912.000000
1772597696.730000,766002.000000,1128128.000000,-53044.000000
1772597696.770000,765958.000000,1128122.000000,-53974.000000
1772597696.810000,766008.000000,1128180.000000,-54567.000000
1772597696.850000,766062.000000,1128457.000000,-54653.000000
1772597696.890000,766154.000000,1128531.000000,-54592.000000
1772597696.930000,766180.000000,1128654.000000,-54570.000000
1772597696.970000,766087.000000,1128615.000000,-54664.000000
1772597697.010000,766029.000000,1128565.000000,-54569.000000
1772597697.050000,766064.000000,1128745.000000,-54202.000000
1772597697.090000,766280.000000,1129123.000000,-53634.000000
1772597697.130000,766390.000000,1129410.000000,-52820.000000
1772597697.170000,766495.000000,1129708.000000,-51999.000000
1772597697.210000,766511.000000,1129754.000000,-51200.000000
1772597697.250000,766639.000000,1130058.000000,-50345.000000
1772597697.290000,766748.000000,1130334.000000,-49442.000000
1772597697.330000,766829.000000,1130672.000000,-48337.000000
1772597697.370000,766828.000000,1130717.000000,-47373.000000
1772597697.410000,766819.000000,1130915.000000,-46331.000000
1772597697.450000,766995.000000,1131233.000000,-45207.000000
1772597697.490000,767154.000000,1131526.000000,-44099.000000
1772597697.530000,766830.000000,1130865.000000,-44122.000000
1772597697.570000,766448.000000,1130009.000000,-45487.000000
1772597697.610000,766119.000000,1129347.000000,-46947.000000
1772597697.650000,765967.000000,1129268.000000,-48337.000000
1772597697.690000,766050.000000,1129280.000000,-49178.000000
1772597697.730000,766157.000000,1129367.000000,-49935.000000
1772597697.770000,766139.000000,1129576.000000,-50352.000000
1772597697.810000,766118.000000,1129581.000000,-50366.000000
1772597697.850000,766051.000000,1129596.000000,-50361.000000
